"","tweet","city","movie","day","Sentiment_Score"
"26","This is, of course, AFTER you see all the amazing films made by our students at #UCLAxFilmFest on Saturday!... https://t.co/YEZJgctyDi","Los Angeles","Elstree 1976","05.07.2016",0.905564739802552
"27","Review: #STAR#WARS Documentary ELSTREE 1976 Makes You Crave More Vader Time https://t.co/IuqxLAgZAZ #Movies #Movie https://t.co/AV3tseqyjS","Los Angeles","Elstree 1976","05.07.2016",0.941626198507814
"28","ELSTREE 1976 - Review - We Are Movie Geeks https://t.co/PJU9a51Q8l","St. Louis ","Elstree 1976","05.07.2016",0.745979557194601
"29","Elstree 1976 # Fandango Movie Tickets, Yeah we’ve got em  @ https://t.co/ErVDyXeUgN https://t.co/9fSOcJn1QS","Denver ","Elstree 1976","05.07.2016",0.90479468749565
"30","Elstree 1976: Trailer 1 #Fandango Movie Tickets, Yeah we’ve got em 
@ https://t.co/XrxLOyRFoB
See the Preview before you get your tickets","Denver ","Elstree 1976","05.07.2016",0.735118512090568
"31","RT @SusanShopmaker: It's Friday !  Those People Movie Trailer https://t.co/pDtTgvJZ3N via @YouTube @ThosePeopleFilm .","New York City","Those People","05.07.2016",0.181925121525263
"32","It's Friday !  Those People Movie Trailer https://t.co/pDtTgvJZ3N via @YouTube @ThosePeopleFilm .","New York City","Those People","05.07.2016",0.373017098804209
"33","RT @indiewire: How Rob Reiner survived 20 years of bad movie making https://t.co/z5XIxCufzn https://t.co/7Cb8r7o5EW","New York City","Being Charlie","05.07.2016",0.383836841371275
"34","#film Being Charlie Movie Review &amp; Film Summary (2016) | Roger Ebert... https://t.co/IRFOrlCzwB","New York City","Being Charlie","05.07.2016",0.791112156005098
"35","RT @MichaelRCaputo: BREAKING: Rob Reiner only wants Democrats to watch his new movie ""Being Charlie"" https://t.co/5RWpH7I4cz","New York City","Being Charlie","05.07.2016",0.252644330720771
"36","RT @indiewire: After 20 years of mixed results, Rob Reiner finally has something meaningful to offer on the big screen https://t.co/z5XIxCu…","New York City","Being Charlie","05.07.2016",0.59589285420963
"37","'Being Charlie' is the best Rob Reiner movie in years, whatever that means https://t.co/5ooO6mganq https://t.co/Umi0HrZVp4","New York City","Being Charlie","05.07.2016",0.948061399233361
"38","BREAKING: Rob Reiner only wants Democrats to watch his new movie ""Being Charlie"" https://t.co/5RWpH7I4cz","New York City","Being Charlie","05.07.2016",0.588122184026944
"39","#film Being Charlie - Movie Trailers - iTunes... https://t.co/HBzLZqqOFS","New York City","Being Charlie","05.07.2016",0.647170486007202
"40","RT @businessinsider: A 22-year-old former addict wrote about rehab, and his famous dad Rob Reiner made it a movie https://t.co/4MgHmO1LZb h…","New York City","Being Charlie","05.07.2016",0.592567408751696
"41","After 20 years of mixed results, Rob Reiner finally has something meaningful to offer on the big screen https://t.co/z5XIxCufzn","New York City","Being Charlie","05.07.2016",0.654720665473638
"42","#SusanSarandon Leads Star-Packed ‘Mothers And Daughters’; Rob &amp; Nick Reine... https://t.co/ihQv3ylW3D #Movies #Movie https://t.co/DTKJJYErbj","Los Angeles","Being Charlie","05.07.2016",0.674233820397718
"43","‘#BeingCharlie’ Clip: Director #RobReiner’s Personal Film #WrittenBy His Son https://t.co/PJmnHrj1ap #Movies #Movie https://t.co/GUtxBtvqSr","Los Angeles","Being Charlie","05.07.2016",0.451055931423476
"44","Hard to embrace #BeingCharlie, despite sobering look at addiction https://t.co/vtfCVAcbQ3 #Movies #Movie https://t.co/HTwYiXs83a","Los Angeles","Being Charlie","05.07.2016",0.956485287257711
"45","“THE OFFERING” (Movie Review) https://t.co/2H4VObJT0A","New York City","The Offering","05.07.2016",0.22642946236448
"46","“THE OFFERING” (Movie Review) https://t.co/it47otivWR","New York City","The Offering","05.07.2016",0.559676066081993
"47","#film The Offering Movie CLIP - He Is Coming Back (2016) - Horror Mov... https://t.co/ERwy4khBIo","New York City","The Offering","05.07.2016",0.472135108459591
"48","Totes accidentally got my coworker in trouble by walking into my job after the movie and offering her popcorn. Whoops","Chicago","The Offering","05.07.2016",0.828648374082756
"49","https://t.co/9EsH6ftpsf","New York City","Dark Horse","05.07.2016",0.901635500817732
"50","#film Dark Horse Movie Review &amp; Film Summary (2016) | Roger Ebert... https://t.co/2YbU5fBQrA","New York City","Dark Horse","05.07.2016",0.594307522117358
"51","RT @indiewire: 2016 Summer Movie Preview: 10 New Movies From Female Directors https://t.co/K797ygElh3 https://t.co/0AOfudngaE","New York City","Dark Horse","05.07.2016",0.564161776227234
"52","RT @povdocs: This summer, catch some rays and flicks by female filmmakers. Here's the list you need by @indiewire. https://t.co/MUd74pAgKt","New York City","Dark Horse","05.07.2016",0.39244915462784
"53","RT @Womens_eNews: Movie Reviews: Documentary 'Dark Horse' is a Big Winner https://t.co/kgMmd0l9G9 https://t.co/i5XRPwLoBG","New York City","Dark Horse","05.07.2016",0.831329642640529
"54","Movie Reviews: Documentary 'Dark Horse' is a Big Winner https://t.co/kgMmd0l9G9 https://t.co/i5XRPwLoBG","New York City","Dark Horse","05.07.2016",0.91500973043494
"55","RT @indiewire: These 10 female filmmakers are set to dominate the summer movie season https://t.co/K797ygElh3 https://t.co/LktkxCeZmJ","New York City","Dark Horse","05.07.2016",0.868123625282464
"56","RT @katerbland: Our entire (still rolling out!) summer preview is here: https://t.co/paVBOIBCSx But this might be my favorite one: https://…","New York City","Dark Horse","05.07.2016",0.635360632089526
"57","I wrote about the familiar but character-rooted Dark Horse, which is not to be confused with the Maori chess movie. https://t.co/V32eLbimF4","Chicago","Dark Horse","05.07.2016",0.393601891577001
"58","RT @alysiareiner: Another article singing praises of mad talented @meeraonthewall (yes she is THAT AWESOME) 
https://t.co/wEC5TvITKx https:…","Los Angeles","Dark Horse","05.07.2016",0.461840630737806
"59","Lots of films by #FemaleDirectors coming out this summer. https://t.co/BiJr5Rl2fw","Los Angeles","Dark Horse","05.07.2016",0.699927685967233
"60","[Review] #DarkHorse https://t.co/4ttAgbOgRM #Movies #Movie https://t.co/KDMSnAGPAN","Los Angeles","Dark Horse","05.07.2016",0.414616263848764
"61","Another article singing praises of mad talented @meeraonthewall (yes she is THAT AWESOME) 
https://t.co/wEC5TvITKx https://t.co/CTNwnh6N08","Los Angeles","Dark Horse","05.07.2016",0.804357269307901
"62","2016 Summer Movie Preview: Female Directors &amp; Filmmakers | Indiewire #womeninfilm  https://t.co/lriwlJ25UT","Los Angeles","Dark Horse","05.07.2016",0.52811361177745
"63","Underdog #DarkHorse is cute but underwhelming https://t.co/rXMugJpLo7 #Movies #Movie https://t.co/M9r0UPk7fh","Los Angeles","Dark Horse","05.07.2016",0.0399338925049496
"64","RT @advsinpoortaste: Opinion: #CaptainAmericaCivilWar changes the game &amp; raises the bar @Marvel #movie #spiderman https://t.co/vICce8t5A9 h…","Boston","Captain America: Civil War","05.07.2016",0.332853506901415
"65","#trump John Hanlon - Captain America: Civil War Review: Marvel movie thoughtful… https://t.co/Gd7ivk9B7G #GOPdebate https://t.co/zFBF8gR4vP","Boston","Captain America: Civil War","05.07.2016",0.782923604875525
"66","Either Ken Burns got a LOT of stuff wrong in that PBS series, or this CAPTAIN AMERICA CIVIL WAR movie has a very misleading title.","Boston","Captain America: Civil War","05.07.2016",0.0234314745629568
"67","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/m9eskb1xNc","Boston","Captain America: Civil War","05.07.2016",0.952443851909817
"68","home now, the movie captain america civil war was real good, the hype is true","Boston","Captain America: Civil War","05.07.2016",0.760996430676741
"69","'Captain America: Civil War' Is The Mightiest Marvel Movie https://t.co/NyAIZ7EpP9","Boston","Captain America: Civil War","05.07.2016",0.89272979213115
"70","EVERYONE GO SEE CAPTAIN AMERICA: CIVIL WAR! Amazing movie.","Boston","Captain America: Civil War","05.07.2016",0.982653296587839
"71","Opinion: #CaptainAmericaCivilWar changes the game &amp; raises the bar @Marvel #movie #spiderman https://t.co/vICce8t5A9 https://t.co/AC7cqZypNk","Boston","Captain America: Civil War","05.07.2016",0.315448521248432
"72","I liked a @YouTube video from @tytwtf https://t.co/4hilcQ3qsF Captain America: Civil War -- SPOILER-FREE Movie Review","Boston","Captain America: Civil War","05.07.2016",0.953988435745707
"73","watching Captain America: Civil <U+034F>Wa<U+034F>r at Boston Common Lowes Movie Theater https://t.co/06ZBvhCSqZ","Boston","Captain America: Civil War","05.07.2016",0.860312602473551
"74","off to see captain america civil war... alone but it should be a good movie anyways .... have a great day fuzzys see you soon","Boston","Captain America: Civil War","05.07.2016",0.973242936947989
"75","‘Captain America: Civil War’ makes the super heroes look imbecile (Movie Review) https://t.co/EGIcJR137o https://t.co/XyT8F4sUPd","Boston","Captain America: Civil War","05.07.2016",0.784363584542408
"76","Captain America: Civil War is the greatest Marvel movie ever made. Cannot wait for Infinity Wars!","Boston","Captain America: Civil War","05.07.2016",0.995469790228188
"77","MOVIE REVIEW: Avengers declare war on each other in revitalized 'Captain America: Civil War'   https://t.co/Q9W36xS23z","Boston","Captain America: Civil War","05.07.2016",0.977786708966771
"78","Captain America:  Civil War is the BIG movie this weekend!  Check out @Fandango movie review @magic1067 !  https://t.co/vTlZRUkmHY","Boston","Captain America: Civil War","05.07.2016",0.580493822507694
"79","$DIS Disney’s ‘Captain America: Civil War’  another awesome movie which will print $$$$$ -  stock future $108 - $110 $$$$$","Boston","Captain America: Civil War","05.07.2016",0.986954652212907
"80","20 Burning Questions You'll Have After Watching Captain America: Civil War, Marvel's Best Movie Yet  https://t.co/vFpUEWJvlb via @enews","Boston","Captain America: Civil War","05.07.2016",0.945516200836204
"81","from MW Daily News.. MOVIE REVIEW: Avengers declare war on each other in revitalized 'Captain America: Civil ... https://t.co/CwzZhEDhET","Boston","Captain America: Civil War","05.07.2016",0.964014916560749
"82","I liked a @YouTube video https://t.co/XY1m6WjOgF Captain America: Civil War - Movie Review","Boston","Captain America: Civil War","05.07.2016",0.831158147312065
"83","#117 Captain America Civil War, best MCU movie yet. #DLMChallenge #366movies #366days","Boston","Captain America: Civil War","05.07.2016",0.97934390922911
"84","Movie time! (@ Showcase Cinema de Lux Patriot Place for Captain America: Civil War) https://t.co/JrzHfgcOjM https://t.co/XYBDFJmXsq","Boston","Captain America: Civil War","05.07.2016",0.424272011049763
"85","Captain America: Civil War has evolved the superhero movie genre.","Boston","Captain America: Civil War","05.07.2016",0.869721146204157
"86","Captain America: Civil War is by far the best superhero movie to date. There is no comparison","Boston","Captain America: Civil War","05.07.2016",0.969493691704852
"87","Captain America: Civil War or Chris Evan's Arms: The Movie??","Boston","Captain America: Civil War","05.07.2016",0.506102302326147
"88","Captain America: Civil War = best superhero movie EVER. I'm still emotional.","Boston","Captain America: Civil War","05.07.2016",0.956830529448293
"89","This just in: Captain America: Civil War is a damn good superhero movie.","Boston","Captain America: Civil War","05.07.2016",0.991870300276891
"90","RT @indiewire: Here are the 16 studio films we can't wait to see this summer https://t.co/BoxXWl2z06 #TheNiceGuys #TheConjuring2 https://t.…","New York City","Captain America: Civil War","05.07.2016",0.932601155959622
"91","This evening at AMC Loews Theatre, I'll be going to ""Captain America: Civil War"" (2016). I'll probably like this movie!","New York City","Captain America: Civil War","05.07.2016",0.455913447248536
"92","I can't wait to see Captain America Civil War with @AaronMHaag!!! #datenight #movie #Avengers","New York City","Captain America: Civil War","05.07.2016",0.962841224303887
"93","Can't wait to see the Black Panther movie tomorrow or as some of ya'll are calling it 'Captain America: Civil War'","New York City","Captain America: Civil War","05.07.2016",0.972231339864489
"94","RT @indiewire: 2016 Summer Movie Preview: 16 Blockbusters You Can't Miss This Season https://t.co/BoxXWl2z06 https://t.co/fBuh6gYAYD","New York City","Captain America: Civil War","05.07.2016",0.971858628744769
"95","RT @Phil_Elmore: Salon hates ""Captain America: Civil War"" for ""making Captain America a douchey libertarian."" There is no better reason to…","New York City","Captain America: Civil War","05.07.2016",0.0911032597029403
"96","RT @IndustryFixxMag: @ContinentalFive 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t…","New York City","Captain America: Civil War","05.07.2016",0.57296287611065
"97","@ContinentalFive 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co/jtx70Ve3Qj","New York City","Captain America: Civil War","05.07.2016",0.542302879104068
"98","RT @IndustryFixxMag: @IAMPOKERFACE 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co…","New York City","Captain America: Civil War","05.07.2016",0.76771108962078
"99","@IAMPOKERFACE 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co/jMNOhgItv6","New York City","Captain America: Civil War","05.07.2016",0.851459206873838
"100","RT @IndustryFixxMag: @TXSTYLEBX @HotWaterz
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https…","New York City","Captain America: Civil War","05.07.2016",0.693204435542689
"101","RT @IndustryFixxMag: @SADADAY @PHADEFOZZY 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https…","New York City","Captain America: Civil War","05.07.2016",0.644768887772614
"102","@TXSTYLEBX @HotWaterz
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co/5G1IgnP33I","New York City","Captain America: Civil War","05.07.2016",0.618302585167788
"103","@SADADAY @PHADEFOZZY 
#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co/KCM5nv5zba","New York City","Captain America: Civil War","05.07.2016",0.705844384399132
"104","RT @IndustryFixxMag: #NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co/3QXwE55XpA","New York City","Captain America: Civil War","05.07.2016",0.580148462926812
"105","#NewMixCd
@SCURRYLIFEDVD x @DJLGee
""Movie Madness 55""
#IndustrFixx
https://t.co/ahFol177Xu https://t.co/3QXwE55XpA","New York City","Captain America: Civil War","05.07.2016",0.598256729857232
"106","RT @IndustryFixxMag: Check out this Fire MixCd: MOVIE MADNESS 55: CAPTAIN AMERICA CIVIL WAR by @SCURRYLIFEDVD Presents @DJLGEE https://t.co…","New York City","Captain America: Civil War","05.07.2016",0.541800306834708
"107","Check out this Fire MixCd: MOVIE MADNESS 55: CAPTAIN AMERICA CIVIL WAR by @SCURRYLIFEDVD Presents @DJLGEE https://t.co/U7m9bIhMsa","New York City","Captain America: Civil War","05.07.2016",0.770991067678099
"108","I liked a @YouTube video https://t.co/kYl91zKrxp 13 Biggest Captain America: Civil War Movie / Comic Differences","New York City","Captain America: Civil War","05.07.2016",0.678312210433565
"109","SCURRY LIFE DVD x DJ L GEE- MOVIE MADNESS 55: CAPTAIN AMERICA CIVIL WAR https://t.co/U7m9bIhMsa","New York City","Captain America: Civil War","05.07.2016",0.704911352530212
"110","RT @indiewire: Here's every movie being released in theaters this weekend. What are you seeing? https://t.co/AxgvZntQ87 https://t.co/Ocx7X4…","New York City","Captain America: Civil War","05.07.2016",0.714625171474977
"111","Watch on #Periscope: movie review: Captain America<U+27A1>Civil War<ed><U+00A0><U+00BD><ed><U+00B1><U+008D><U+7F8E><U+56FD><U+961F><U+957F>(<U+5185><U+6218>) https://t.co/QaVw3nPcXo","New York City","Captain America: Civil War","05.07.2016",0.791495801279159
"112","Saw Captain America: Civil War. A LOT happens in that movie but really enjoyed it. Excited for Black Panther movie, seeing his chara here.","New York City","Captain America: Civil War","05.07.2016",0.958385561817929
"113","Salon hates ""Captain America: Civil War"" for ""making Captain America a douchey libertarian."" There is no better reason to see this movie.","New York City","Captain America: Civil War","05.07.2016",0.147637816136192
"114","Movie date <ed><U+00A0><U+00BC><ed><U+00BE><U+009F><ed><U+00A0><U+00BC><ed><U+00BE><U+009F> (@ AMC Loews Kips Bay 15 - @amctheatres for Captain America: Civil War) https://t.co/JWsxiLgua9 https://t.co/aj0WRZUoyA","New York City","Captain America: Civil War","05.07.2016",0.913528072976346
"115","Indiewire: 6 Ways to Write a Marvel Movie, According to the Screenwriters of 'Captain America: Civil War' https://t.co/UBBsOMYd3x #film","New York City","Captain America: Civil War","05.07.2016",0.127853623042903
"116","Want to know how to write a Marvel movie? Let the CIVIL WAR writers tell you how: https://t.co/cAHxQDrbgu","New York City","Captain America: Civil War","05.07.2016",0.574038682295092
"117","Captain America: Civil War is easily movie of year.","New York City","Captain America: Civil War","05.07.2016",0.948731587488712
"118","RT @ForbesShowbiz: The box office takes of every Marvel movie... did you contribute to the $207 million take of number one? https://t.co/Jw…","New York City","Captain America: Civil War","05.07.2016",0.757140456457294
"119","6 Ways to Write a Marvel Movie, According to the Screenwriters of 'Captain America: Civil War': The... https://t.co/egnz29XaNv Indiewire","New York City","Captain America: Civil War","05.07.2016",0.309907332628054
"120","6 Ways to Write a Marvel Movie, According to the Screenwriters of 'Captain America: Civil War': The sprawling... https://t.co/stAboqjNgD","New York City","Captain America: Civil War","05.07.2016",0.288730366370396
"121","Here are the 16 studio films we can't wait to see this summer https://t.co/BoxXWl2z06 #TheNiceGuys #TheConjuring2 https://t.co/4X6rkxgVJW","New York City","Captain America: Civil War","05.07.2016",0.947635566915165
"122","The box office takes of every Marvel movie... did you contribute to the $207 million take of number one? https://t.co/Jw0pk9ySBX","New York City","Captain America: Civil War","05.07.2016",0.811065848818944
"123","RT @DAlter007: #BlackPanther is the Boba Fett in this movie. Steals the show ""Black Panther Wins Marvel's Civil War"" - @Forbes  https://t.c…","New York City","Captain America: Civil War","05.07.2016",0.580581333512805
"124","RT @CinemaAttack: .@Kevfeige hints at a possible #BlackWidow movie in the future! (https://t.co/SYmoRnWF5i) https://t.co/E1fO8P0QDz","New York City","Captain America: Civil War","05.07.2016",0.846559972691549
"125","Movie theater waiting at 7:15 to see  Captain America civil war <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BC><ed><U+00BE><U+00AC> https://t.co/KUjBOyp2ig","New York City","Captain America: Civil War","05.07.2016",0.386810270857837
"126","@RedbirdMenace @TheAmitie @weed_mouse @jonbernhardt he thinks it's an ok movie but not a super ok movie https://t.co/acuegnIE6A","New York City","Captain America: Civil War","05.07.2016",0.0384184513571318
"127","13 Biggest Civil War Movie/Comic Differences https://t.co/FmQ028ujtj","New York City","Captain America: Civil War","05.07.2016",0.543999971713854
"128","RT @iTouchRev: 13 Biggest Civil War Movie/Comic Differences: While the new Captain America movie is subtit... https://t.co/eiFAD5VNzL #Tech…","New York City","Captain America: Civil War","05.07.2016",0.131498981452098
"129","13 Biggest Civil War Movie/Comic Differences: While the new Captain America movie is subtit... https://t.co/eiFAD5VNzL #Technology #Game","New York City","Captain America: Civil War","05.07.2016",0.352515081598028
"130","13 Biggest Civil War Movie/Comic Differences: While the new Captain America movie is subtitled ""Civil War,"" t... https://t.co/wjbC46uZhb","New York City","Captain America: Civil War","05.07.2016",0.273571815739642
"131",".@Kevfeige hints at a possible #BlackWidow movie in the future! (https://t.co/SYmoRnWF5i) https://t.co/E1fO8P0QDz","New York City","Captain America: Civil War","05.07.2016",0.849578521491066
"132","RT @BilgeEbiri: My review of the new Marvel movie AVENGERS 3: AVENGERS V. AVENGERS. https://t.co/pAujIOWEbk","New York City","Captain America: Civil War","05.07.2016",0.482576884541032
"133","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/8hfPYN3Z9q","New York City","Captain America: Civil War","05.07.2016",0.934458078090108
"134","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/Ijo5dsIKvP","New York City","Captain America: Civil War","05.07.2016",0.927484760954074
"135","captain america civil war is probably the best movie that has come out this year i am saying this both with a bias and without a bias","New York City","Captain America: Civil War","05.07.2016",0.885024925367201
"136","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/aMnJFV1oxL","New York City","Captain America: Civil War","05.07.2016",0.919875331087149
"137","RT @HashTag_Marcus_: Captain America Civil War was hands down the best marvel movie....forgot to add my 2 cents last night","New York City","Captain America: Civil War","05.07.2016",0.870824923644453
"138","RT @bendreyfuss: It also wasn’t entirely clear to me why William Hurt was even in this movie https://t.co/BFrYb1WmlE","New York City","Captain America: Civil War","05.07.2016",0.367886391382839
"139","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/i1XUWaUOn8","New York City","Captain America: Civil War","05.07.2016",0.932212383327222
"140","I liked a @YouTube video from @tjsotomayor https://t.co/oud6N6XuSh Captain America's Civil War Movie Review From A Black Nerd!","New York City","Captain America: Civil War","05.07.2016",0.950338312831787
"141","I liked a @YouTube video https://t.co/8zLFW0rM2h Captain America: Civil War Movie Review ( Second Viewing ) U.K. Edition ( SPOILERS )","New York City","Captain America: Civil War","05.07.2016",0.928047404450411
"142","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/XUG8w9n1a1","New York City","Captain America: Civil War","05.07.2016",0.968682757584267
"143","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/EZPPqQhl9t","New York City","Captain America: Civil War","05.07.2016",0.929018193415213
"144","'Captain America: Civil War' Captures Politics Of The Moment: The Marvel Cinematic Universe's new movie, Capt... https://t.co/8XFITrPRpO","New York City","Captain America: Civil War","05.07.2016",0.937960765746122
"145","Superheroes Engage In All Out 'Civil War' In The Latest 'Captain America' Film: The new movie from Marvel Stu... https://t.co/jegplCLPoM","New York City","Captain America: Civil War","05.07.2016",0.742587605000998
"146","I liked a @YouTube video from @tyronemagnus77 https://t.co/cJ4mMsO9OE Captain America: Civil War MOVIE REVIEW ""MULLET STYLE""!!!","New York City","Captain America: Civil War","05.07.2016",0.955867024069902
"147","Captain America Civil War SPOILERS Movie Review https://t.co/V6rPTOyIGT via @YouTube #BeyondTheTrailer #CivilWar #CaptainAmerica","New York City","Captain America: Civil War","05.07.2016",0.761698484831859
"148","Superheroes Engage In All Out 'Civil War' In The Latest 'Captain America' Film: The new movie from Marvel Stu... https://t.co/j8uWlRTZgu","New York City","Captain America: Civil War","05.07.2016",0.756202572120718
"149","Superheroes Engage In All Out 'Civil War' In The Latest 'Captain America' Film: The new movie from Marvel Stu... https://t.co/t6dFLpScvz","New York City","Captain America: Civil War","05.07.2016",0.746934963385338
